Country,Clicks,Impressions,CTR,Position
Gambia,0,1,0%,9
French Guiana,0,1,0%,9
Maldives,0,1,0%,10
Turkmenistan,0,1,0%,10
Comoros,0,1,0%,11
Cuba,0,1,0%,11
Guinea-Bissau,0,1,0%,12
Macau,0,1,0%,20
St. Vincent & Grenadines,0,1,0%,46
Andorra,0,1,0%,60
Namibia,0,1,0%,66
Belize,0,1,0%,69
Barbados,0,1,0%,83
